name,profile_url,emails,org_number,revenue,legal_name,registration_date,company_type,employees,ceo,address,postal_address,city,share_capital,sni_codes,business_purpose,phone,website
Trähantverkarna i Svealand AB,https://www.allabolag.se/foretag/tr%C3%A4hantverkarna-i-svealand-ab/kumla/-/5568849540,[],556884-9540,2099,Trähantverkarna i Svealand AB,2012-02-21,Aktiebolag,1,"Julsta 420, 692 93 Kumla","Julsta 420, 692 93 Kumla",Kumla,50,"['43320 Byggnadssnickeriarbeten', '85599 Diverse övrig utbildning']","Föremålet för bolagets verksamhet är att bedriva byggverksamhet såsom ny- och ombyggnadsverksamhet, försäljning av byggmaterial, träarbeten, utbildnings- och konsultverksamhet inom trähantverk och därmed förenlig verksamhet.",Wilhelm Ronny Östling,,
Tallåsvägen Fastigheter AB,https://www.allabolag.se/foretag/tall%C3%A5sv%C3%A4gen-fastigheter-ab/karlskoga/-/5592246028,[],559224-6028,2099,Tallåsvägen Fastigheter AB,2019-10-30,Aktiebolag,0,,"Vassviksvägen 3 c, 691 51 Karlskoga",Karlskoga,54,['68201 Uthyrning och förvaltning av egna eller arrenderade bostäder'],Förvaltningen av fastigheter och värdepapper och därmed förenlig verksamhet.,,,
LD Tandvård AB,https://www.allabolag.se/foretag/ld-tandv%C3%A5rd-ab/%C3%B6rebro/-/5593627739,[],559362-7739,2099,LD Tandvård AB,2022-01-27,Aktiebolag,4,"Storgatan 55, 703 63 Örebro","Storgatan 55, 703 63 Örebro",Örebro,25,['86230 Tandläkarverksamhet'],"Bolaget skall bedriva verksamhet inom tandvård , handel med värdepapper, äga och förvalta fastigheter och därmed förenlig verksamhet.",Laura Linnea Deaibes,,
Örebro Måleri Hus AB,https://www.allabolag.se/foretag/%C3%B6rebro-m%C3%A5leri-hus-ab/%C3%B6rebro/-/5590190319,[],559019-0319,2097,Örebro Måleri Hus AB,2015-07-01,Aktiebolag,0,"Bergslagsgatan 6, 703 67 Örebro","Bergslagsgatan 6, 703 67 Örebro",Örebro,50,['68201 Uthyrning och förvaltning av egna eller arrenderade bostäder'],Bolaget skall bedriva fastighetsförvaltning samt därmed förenlig verksamhet.,,,
mbase consulting AB,https://www.allabolag.se/foretag/mbase-consulting-ab/kumla/-/5590926274,[],559092-6274,2097,mbase consulting AB,2016-12-20,Aktiebolag,1,"Gelinelundsgatan 8, 692 71 Kumla","Gelinelundsgatan 8, 692 71 Kumla",Kumla,50,"['62020 Datakonsultverksamhet', '45110 Handel med personbilar och lätta motorfordon']","Erbjuda IT relaterade konsulttjänster inom förstudie, kravställning, och arkitektur, systemutveckling och genomförande samt projektledning av IT relaterade verksamhetsprojekt inom verksamhetsområdena försäljning, tillverkning, logistik och grossistverksamhet. Bedriva handel med, samt erbjuda teknisk förädling, modernisering och ombyggnad av veteranfordon.",Thomas Mikael Blomqvist,,
Fastighetsaktiebolaget Sköllersta,https://www.allabolag.se/foretag/fastighetsaktiebolaget-sk%C3%B6llersta/%C3%B6rebro/-/5593781056,[],559378-1056,2095,Fastighetsaktiebolaget Sköllersta,2022-04-28,Aktiebolag,0,"Rudbecksgatan 37, 702 11 Örebro","c/o SIBE Förvaltning, Rudbecksgatan 37, 702 11 Örebro",Örebro,25,['68201 Uthyrning och förvaltning av egna eller arrenderade bostäder'],Bolaget ska äga och förvalta fast egendom och därmed förenlig verksamhet.,,,
Allservice Team i Örebro AB,https://www.allabolag.se/foretag/allservice-team-i-%C3%B6rebro-ab/%C3%B6rebro/-/5568977846,[],556897-7846,2095,Allservice Team i Örebro AB,2012-07-02,Aktiebolag,4,Örebro,"Allservice Team AB Box 22053, 702 03 Örebro",Örebro,50,['81100 Fastighetsrelaterade stödtjänster'],"Bolagets verksamhet ska vara fastighetsrelaterade stödtjänster, såsom städ, trädgård, snickeri, målning och servicetjänster riktade till privatpersoner, bostadsrättsföreningar och företag.",,,
Per och Jannes Centrum Fastigheter AB,https://www.allabolag.se/foretag/per-och-jannes-centrum-fastigheter-ab/karlskoga/-/5590861836,[],559086-1836,2094,Per och Jannes Centrum Fastigheter AB,2016-11-21,Aktiebolag,1,"Betongvägen 3 a, 691 42 Karlskoga","PER OCH JANNES INVEST AB Betongvägen 3 a, 691 42 Karlskoga",Karlskoga,50,['68201 Uthyrning och förvaltning av egna eller arrenderade bostäder'],Bolaget skall bedriva förvaltning av fastigheter och värdepapper och därmed förenlig verksamhet.,,,
Kvistbro Entreprenad AB,https://www.allabolag.se/foretag/kvistbro-entreprenad-ab/fjugesta/-/5594541897,[],559454-1897,2093,Kvistbro Entreprenad AB,2023-10-26,Aktiebolag,1,"Tebomarken 4027, 716 93 Fjugesta","Tebomarken 4027, 716 93 Fjugesta",Fjugesta,25,"['43120 Mark- och grundarbeten', '49320 Taxitrafik']","Bolaget ska bedriva gräv- och markentreprenader, uthyrning av personal, handel med värdepapper samt därmed förenlig verksamhet.",,,
FIBAB Fastigheter Aktiebolag,https://www.allabolag.se/foretag/fibab-fastigheter-aktiebolag/hallsberg/-/5566156146,[],556615-6146,2093,FIBAB Fastigheter Aktiebolag,2001-09-11,Aktiebolag,0,"Esplanaden 100, 694 35 Hallsberg","Esplanaden 100, 694 35 Hallsberg",Hallsberg,100,"['68203 Uthyrning och förvaltning av egna eller arrenderade, andra lokaler']",Bolaget skall äga och förvalta fast egendom och därmed förenlig verksamhet.,,0582-107 90,
