name,profile_url,emails,org_number,revenue,legal_name,registration_date,company_type,employees,address,postal_address,city,share_capital,sni_codes,business_purpose,ceo,phone,website
Samsala Åkeri AB,https://www.allabolag.se/foretag/samsala-%C3%A5keri-ab/hallsberg/-/5568691413,[],556869-1413,2523,Samsala Åkeri AB,2011-10-27,Aktiebolag,1,"Bäckaskog 604, 694 92 Hallsberg","Bäckaskog 604, 694 92 Hallsberg",Hallsberg,50Tkr,"['49410 Vägtransport, godstrafik']",Föremålet för bolagets verksamhet är att utföra gods'/anläggningstransporter och uthyrning av arbetskraft samt handel med värdepapper och därmed förenlig verksamhet.,,070-568 79 59,
Pers Ved och Trädfällning AB,https://www.allabolag.se/foretag/pers-ved-och-tr%C3%A4df%C3%A4llning-ab/askersund/-/5593533572,[],559353-3572,2523,Pers Ved och Trädfällning AB,2021-12-13,Aktiebolag,1,"Bofinksgatan 4, 696 33 Askersund","Bofinksgatan 4, 696 33 Askersund",Askersund,100Tkr,"['02200 Drivning', '46810 Partihandel med bränslen']",Föremålet för bolagets verksamhet är att bedriva försäljning av ved och viltfoder samt utföra trädfällning samt därmed förenlig verksamhet.,,,
Rasmus waara Entreprenad AB,https://www.allabolag.se/foretag/rasmus-waara-entreprenad-ab/degerfors/-/5593029290,[],559302-9290,2521,Rasmus waara Entreprenad AB,2021-02-19,Aktiebolag,1,"Gräsmossen 119, 693 92 Degerfors","Gräsmossen 119, 693 92 Degerfors",Degerfors,25Tkr,"['43120 Mark- och grundarbeten', '43320 Byggnadssnickeriarbeten']","Företaget ska bedriva entreprenadarbeten inom mark och byggnadsbranschen. Uthyrning av entreprenadmaskiner, arbetskraft, förvaltning av fast och lös egendom.",,,
Mitt Företag i Närke AB,https://www.allabolag.se/foretag/mitt-f%C3%B6retag-i-n%C3%A4rke-ab/%C3%B6rebro/-/5568616816,[],556861-6816,2521,Mitt Företag i Närke AB,2011-08-18,Aktiebolag,0,"Storgatan 48 Lgh 1103, 703 63 Örebro","Storgatan 48 Lgh 1103, 703 63 Örebro",Örebro,50Tkr,['96300 Begravningsverksamhet'],Bolaget skall bedriva begravningsbyråverksamhet samt därmed förenlig verksamhet.,,019-611 47 00,
Luftgruppen i Sverige AB,https://www.allabolag.se/foretag/luftgruppen-i-sverige-ab/karlskoga/-/5593662918,[],559366-2918,2521,Luftgruppen i Sverige AB,2022-02-17,Aktiebolag,3,"Mineralvägen 44, 691 45 Karlskoga","Mineralvägen 44, 691 45 Karlskoga",Karlskoga,25Tkr,"['43222 Ventilationsarbeten', '93199 Annan sportverksamhet', '43320 Byggnadssnickeriarbeten', '73120 Mediebyråverksamhet och annonsförsäljning']","Bolaget skall bedriva installationer av ventilation och injustering samt ska bedriva uthyrning av personal samt konsultverksamhet inom byggbranschen. Ombyggnation av racingbilar samt reparationer av fordon, marknadsföring av företag och tillverkning av diverse special delar inom motorsport och därmed förenlig verksamhet.",,,
Andlop Sverige AB,https://www.allabolag.se/foretag/andlop-sverige-ab/%C3%A5mmeberg/-/5590657051,[],559065-7051,2521,Andlop Sverige AB,2016-06-08,Aktiebolag,1,"Skalltorp Ulfsbäcken 425, 696 95 Åmmeberg","c/o DAN ANDERSSON, Skalltorp Ulfsbäcken 425, 696 95 Åmmeberg",Åmmeberg,50Tkr,"['95313 Däckservice', '47820 Detaljhandel med reservdelar och tillbehör till motorfordon']",Aktiebolaget skall bedriva service och försäljning av däck och tillbehör samt därmed förenlig verksamhet.,,,
AKEP AB,https://www.allabolag.se/foretag/akep-ab/%C3%B6rebro/-/5594074923,[],559407-4923,2517,AKEP AB,2022-11-23,Aktiebolag,2,"Bastuvägen 10 a, 702 28 Örebro","c/o ALEXANDER KOVALONOK, Bastuvägen 10 a, 702 28 Örebro",Örebro,25Tkr,"['71121 Teknisk konsultverksamhet inom bygg- och anläggningsteknik', '43411 Takarbeten av plåt', '43240 Andra bygginstallationer', '68120 Utformning av byggprojekt', '43120 Mark- och grundarbeten']",Konsultverksamhet inom byggbranschen. Bygg- och entreprenadverksamhet.,Carolina Sofie Österberg,,
Vretstorps Pizzeria AB,https://www.allabolag.se/foretag/vretstorps-pizzeria-ab/vretstorp/-/5592246473,[],559224-6473,2513,Vretstorps Pizzeria AB,2019-10-30,Aktiebolag,2,"Stationsgatan 4, 694 50 Vretstorp","Stationsgatan 4, 694 50 Vretstorp",Vretstorp,50Tkr,['56110 Restaurangverksamhet'],Baka pizza och laga mat.,,,
Seniorfixaren Trädgård i Karlskoga AB,https://www.allabolag.se/foretag/seniorfixaren-tr%C3%A4dg%C3%A5rd-i-karlskoga-ab/karlskoga/-/5568304967,[],556830-4967,2513,Seniorfixaren Trädgård i Karlskoga AB,2010-12-08,Aktiebolag,4,"Bjällervägen 2, 691 42 Karlskoga","Bjällervägen 2, 691 42 Karlskoga",Karlskoga,50Tkr,['81300 Skötsel och underhåll av grönytor'],"Aktiebolagets verksamhet ska vara trädgårdsarbete, fastighetsskötsel, service och underhåll till privatpersoner och företag, samt försäljning av produkter tillhörande trädgårdsarbete. Anordnande av resor inom Sverige och utomlands, främst för seniorer.",,,
Ossia AB,https://www.allabolag.se/foretag/ossia-ab/%C3%B6rebro/-/5567615652,[],556761-5652,2512,Ossia AB,2008-07-02,Aktiebolag,2,"Björkemo 203 Skogalund, 705 94 Örebro","Björkemo 203 Skogalund, 705 94 Örebro",Örebro,100Tkr,"['86221 Specialistläkarverksamhet inom öppenvård, på sjukhus']","Bolagets verksamhet ska vara att utreda, behandla och konsultera inom psykiatrin samt förvalta värdepapper.",,070-456 73 81,
Hantverkarhusen Närke AB,https://www.allabolag.se/foretag/hantverkarhusen-n%C3%A4rke-ab/kumla/-/5590113832,[],559011-3832,2512,Hantverkarhusen Närke AB,2015-04-21,Aktiebolag,0,"Marsvägen 2 b, 692 34 Kumla","Marsvägen 2 b, 692 34 Kumla",Kumla,50Tkr,['68202 Uthyrning och förvaltning av egna eller arrenderade industrilokaler'],Bolaget ska äga och förvalta fast och lös egendom och därmed förenlig verksamhet.,,,
Pålsbo Fastighets AB,https://www.allabolag.se/foretag/p%C3%A5lsbo-fastighets-ab/%C3%B6rebro/-/5567031959,[],556703-1959,2511,Pålsbo Fastighets AB,2006-05-03,Aktiebolag,1,"Räntmästargatan 47, 702 25 Örebro","Räntmästargatan 47, 702 25 Örebro",Örebro,100Tkr,['68201 Uthyrning och förvaltning av egna eller arrenderade bostäder'],Aktiebolaget ska äga och förvalta fastigheter samt idka därmed förenlig verksamhet.,,070-654 00 42,
Printolsson Aktiebolag,https://www.allabolag.se/foretag/printolsson-aktiebolag/nora/-/5563055838,[],556305-5838,2511,Printolsson Aktiebolag,1987-09-11,Aktiebolag,2,"Nytorpsvägen 1, 713 32 Nora","Nytorpsvägen 1, 713 32 Nora",Nora,100Tkr,['18122 Tryckning av böcker och övriga trycksaker'],"Bolaget skall bedriva screentryckeri, reprofoto och försäljning av reklamartiklar ävensom idka därmed förenlig verksamhet.",,0587-107 20,
Medical Art Sweden AB,https://www.allabolag.se/foretag/medical-art-sweden-ab/vintrosa/-/5592937089,[],559293-7089,2511,Medical Art Sweden AB,2020-12-28,Aktiebolag,1,"Golfgatan 29, 719 93 Vintrosa","Golfgatan 29, 719 93 Vintrosa",Vintrosa,25Tkr,"['86222 Specialistläkarverksamhet inom öppenvård, ej på sjukhus']","Bolaget ska bedriva plastikkirurgisk och annan medicinsk konsultverksamhet, forskning och utveckling inom det medicinska området samt organisera och leda medicinsk utbildning, investera i läkarverksamhet, förvaltning av fastigheter och värdepapper samt därmed förenlig verksamhet.",Anders Jesper Bergdahl,,
